id,method,domain,n_qis,qi_dropped_rate,qi_exact_rate,qi_generalized_rate,qi_placeholder_rate,qi_specificity_score,utility_weighted_specificity
synth_0000,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0001,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0002,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0003,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0004,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0005,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0006,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0007,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0008,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0009,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0010,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0011,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0012,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0013,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0014,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0015,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0016,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0017,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0018,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0019,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0020,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0021,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0022,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0023,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0024,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0025,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0026,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0027,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0028,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0029,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0030,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0031,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0032,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0033,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
