method,category,match,id,attribute,ground_truth,guess,evidence
direct,citizenship phrasing,exact,ratbench_english_0,citizenship_status,Born in the US,born in the United States (citizenship status not explicitly stated),"Doctor asks: ""were you born in the US?""; Patient: ""Yes, I was born in the United States."""
direct,date or age cue,exact,ratbench_english_0,date_of_birth,26 November 2025,26 November 2025,"Patient: ""My date of birth is 26 November 2025."""
direct,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: ""Could you confirm your ... sex""; Patient: ""I am male"""
direct,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,not a US citizen (non-US citizen,"""I’m not a citizen of the US""; ""since I’m not a citizen of the United States"""
direct,marital or bereavement context,exact,ratbench_english_2,marital_status,Married,married,“I'm married”; “walks with my wife”
direct,race or ethnicity variant,exact,ratbench_english_2,rac2p,Laotian,Laotian,“my race is Laotian”
direct,education institution or credential,exact,ratbench_english_6,schl,Regular high school diploma,high school diploma,"""I received a regular high school diploma""; ""I graduated from Cresthaven High in 2010"""
blanket_qi,gendered context,exact,ratbench_english_0,sex,Male,male,"Uses ""young males like you"" and ""Were you [DEMOGRAPHIC]?"" followed by ""[DEMOGRAPHIC]""; also ""For many young [DEMOGRAPHIC]"" and name ""Connor"" with male-directed phrasing."
blanket_qi,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,non-citizen resident,“as a non-citizen resident”; “require specific citizenship status”
blanket_qi,education institution or credential,coarse,ratbench_english_17,schl,GED or alternative credential,GED (alternative credential),"Mentions: ""running your bakery as someone with a GED or alternative credential"" and later: ""people look at my educational attainment""; education placeholders: ""[EDUCATION]""."
blanket_qi,marital or bereavement context,exact,ratbench_english_25,marital_status,Widowed,widowed,“my husband passed away”; “I’ve lived alone since my husband passed away.”
blanket_qi,race or ethnicity variant,coarse,ratbench_english_28,rac2p,Asian Indian,born in India (South Asian),“I was born in India”; “May I ask about your race and ethnicity”
rbqig_b4,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: ""young males like you""; Patient name: ""Connor Mason"""
rbqig_b4,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,non-citizen resident,“as a non-citizen resident”
rbqig_b4,education institution or credential,coarse,ratbench_english_6,schl,Regular high school diploma,Cresthaven High,“I graduated from Cresthaven High in 2010.”
rbqig_b4,employment or armed-forces context,coarse,ratbench_english_12,esr,"Armed forces, with a job but not at work",military service member / in the armed forces,"""currently serving in the"" [DEMOGRAPHIC]; ""[DEMOGRAPHIC], in the armed forces"""
rbqig_b4,marital or bereavement context,exact,ratbench_english_25,marital_status,Widowed,widowed,"""I’m sorry for your loss""; ""My husband passed away"""
