id,method,domain,coarse_attribute_leakage,exact_attribute_leakage,record_compromise_rate,risk_weighted_leakage
ratbench_english_1,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_6,direct,Meeting transcript,0.5,0.5,1.0,0.5714285714285714
ratbench_english_7,direct,Meeting transcript,0.5,0.5,1.0,0.5555555555555556
ratbench_english_10,direct,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_11,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_13,direct,Chatbot conversation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_14,direct,Chatbot conversation,0.5,0.5,1.0,0.5
ratbench_english_16,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_18,direct,Medical consultation,0.5,0.5,1.0,0.5714285714285714
ratbench_english_19,direct,Meeting transcript,1.0,1.0,0.0,1.0
ratbench_english_21,direct,Medical consultation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_23,direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_25,direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_27,direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_29,direct,Medical consultation,1.0,1.0,0.0,1.0
ratbench_english_30,direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_33,direct,Meeting transcript,0.6666666666666666,0.6666666666666666,1.0,0.5833333333333334
ratbench_english_35,direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_36,direct,Meeting transcript,0.5,0.5,1.0,0.5555555555555556
ratbench_english_37,direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_42,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_43,direct,Medical consultation,1.0,1.0,1.0,1.0
ratbench_english_44,direct,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_46,direct,Medical consultation,1.0,1.0,1.0,1.0
ratbench_english_51,direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_52,direct,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_54,direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_55,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_56,direct,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_59,direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_1,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_6,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_7,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_10,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_11,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_13,blanket_qi,Chatbot conversation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_14,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_16,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_18,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_19,blanket_qi,Meeting transcript,1.0,1.0,0.0,1.0
ratbench_english_21,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_23,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_25,blanket_qi,Chatbot conversation,0.5,0.5,1.0,0.5
ratbench_english_27,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_29,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_30,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_33,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_35,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_36,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_37,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_42,blanket_qi,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_43,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_44,blanket_qi,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_46,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_51,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_52,blanket_qi,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_54,blanket_qi,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_55,blanket_qi,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_56,blanket_qi,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_59,blanket_qi,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_1,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_6,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_7,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_10,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_11,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_13,rbqig_b4,Chatbot conversation,0.5,0.5,1.0,0.4444444444444444
