method,category,match,id,attribute,ground_truth,guess,evidence
direct,citizenship phrasing,exact,ratbench_english_0,citizenship_status,Born in the US,born in the United States (citizenship status not explicitly stated),"Doctor asks: ""were you born in the US?""; Patient: ""Yes, I was born in the United States."""
direct,date or age cue,exact,ratbench_english_0,date_of_birth,26 November 2025,26 November 2025,"Patient: ""My date of birth is 26 November 2025."""
direct,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: ""Could you confirm your ... sex""; Patient: ""I am male"""
direct,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,not a US citizen (non-US citizen,"""I’m not a citizen of the US""; ""since I’m not a citizen of the United States"""
direct,marital or bereavement context,exact,ratbench_english_2,marital_status,Married,married,“I'm married”; “walks with my wife”
direct,race or ethnicity variant,exact,ratbench_english_2,rac2p,Laotian,Laotian,“my race is Laotian”
direct,education institution or credential,exact,ratbench_english_6,schl,Regular high school diploma,high school diploma,"""I received a regular high school diploma""; ""I graduated from Cresthaven High in 2010"""
direct,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii (HI),“I live in Hawaii”; “I live in Hawaii/HI”
direct,race or ethnicity variant,coarse,ratbench_english_40,rac2p,Other Micronesian or in combination with other,Other Micronesian (possibly in combination),"""my race is other Micronesian or in combination with other"""
direct,marital or bereavement context,coarse,ratbench_english_48,marital_status,Never married or under 15 years old,never married (not been married),"""I have never been married""; ""someone who has never married"""
direct,education institution or credential,coarse,ratbench_english_59,schl,Regular high school diploma,Lincoln High School,"""That was from Lincoln High School"""
direct,date or age cue,coarse,ratbench_english_65,date_of_birth,22 February 1974,1974-02-22,"Patient: ""date of birth—22 February 1974?""; Doctor: ""confirm, your date of birth is 22 February 1974"""
direct,employment or armed-forces context,exact,ratbench_english_75,esr,Unemployed,unemployed,"""I’m unemployed right now""; ""individuals ... who are currently unemployed"""
blanket_qi,gendered context,exact,ratbench_english_0,sex,Male,male,"Uses ""young males like you"" and ""Were you [DEMOGRAPHIC]?"" followed by ""[DEMOGRAPHIC]""; also ""For many young [DEMOGRAPHIC]"" and name ""Connor"" with male-directed phrasing."
blanket_qi,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,non-citizen resident,“as a non-citizen resident”; “require specific citizenship status”
blanket_qi,education institution or credential,coarse,ratbench_english_17,schl,GED or alternative credential,GED (alternative credential),"Mentions: ""running your bakery as someone with a GED or alternative credential"" and later: ""people look at my educational attainment""; education placeholders: ""[EDUCATION]""."
blanket_qi,marital or bereavement context,exact,ratbench_english_25,marital_status,Widowed,widowed,“my husband passed away”; “I’ve lived alone since my husband passed away.”
blanket_qi,race or ethnicity variant,coarse,ratbench_english_28,rac2p,Asian Indian,born in India (South Asian),“I was born in India”; “May I ask about your race and ethnicity”
blanket_qi,race or ethnicity variant,exact,ratbench_english_31,rac2p,Native Hawaiian,Native Hawaiian / cultural background (broad),"Cues: ""serve native Hawaiians"" and ""cultural background""; race attribute is not explicitly stated."
blanket_qi,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii (HI),"Explicit: ""[LOCATION]/HI"" and references to Oahu and ""Big Island""."
blanket_qi,date or age cue,coarse,ratbench_english_87,date_of_birth,30 July 1985,July 30th,“highlight July 30th for your celebrations”; “my birthday on July 30th”
blanket_qi,education institution or credential,exact,ratbench_english_92,schl,Master's degree,master's degree,“you’re an environmental scientist and geoscientist with a master’s degree”; “you hold a master’s degree”
rbqig_b4,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: ""young males like you""; Patient name: ""Connor Mason"""
rbqig_b4,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,non-citizen resident,“as a non-citizen resident”
rbqig_b4,education institution or credential,coarse,ratbench_english_6,schl,Regular high school diploma,Cresthaven High,“I graduated from Cresthaven High in 2010.”
rbqig_b4,employment or armed-forces context,coarse,ratbench_english_12,esr,"Armed forces, with a job but not at work",military service member / in the armed forces,"""currently serving in the"" [DEMOGRAPHIC]; ""[DEMOGRAPHIC], in the armed forces"""
rbqig_b4,marital or bereavement context,exact,ratbench_english_25,marital_status,Widowed,widowed,"""I’m sorry for your loss""; ""My husband passed away"""
rbqig_b4,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii,"Locations include ""[LOCATION]/HI"" and ""Oahu"" and ""Big Island""; also ""personal care aide roles"" in Hawaii context."
rbqig_b4,citizenship phrasing,exact,ratbench_english_34,citizenship_status,Born in the US,born in the US (US citizenship implied),"""as someone who was born in the US"""
rbqig_b4,race or ethnicity variant,coarse,ratbench_english_40,rac2p,Other Micronesian or in combination with other,Micronesian/Pacific Islander (broad),"Cues: “other Micronesian or Pacific Islander communities”, “growing up in Guam”, “Micronesian, Pacific Islander”."
rbqig_b4,date or age cue,coarse,ratbench_english_87,date_of_birth,30 July 1985,July 30th (exact date provided); year unknown,“I’ll make a note to highlight July 30th for your celebrations.”; “Maybe for my birthday on July 30th.”
rbqig_b4,race or ethnicity variant,exact,ratbench_english_89,rac2p,Black or African American,black,"Placeholder indicates race: ""young black adults from Georgia"" and ""tailored specifically for [DEMOGRAPHIC] in Georgia""; Also explicitly: ""For example, ... UNCF"" and ""Georgia Association of Black Women Attorneys"" and ""National Black MBA Association""."
