source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,record_compromise_rate,0.91,0.85,0.96,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,exact_attribute_leakage,0.940986,0.916581,0.962371,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,coarse_attribute_leakage,0.318554,0.260289,0.377618,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,risk_weighted_leakage,0.652158,0.615294,0.689907,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_rbqig_b4,token_change_rate,-0.060743,-0.068967,-0.053062,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,record_compromise_rate,0.91,0.85,0.96,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,exact_attribute_leakage,0.945986,0.923889,0.965869,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,coarse_attribute_leakage,0.945986,0.924675,0.965956,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,risk_weighted_leakage,0.935326,0.90712,0.960784,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct_minus_blanket_qi,token_change_rate,-0.062305,-0.07079,-0.054462,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.005,0.0,0.015,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.627432,0.569166,0.686242,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.283169,0.249719,0.316405,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b4_minus_blanket_qi,token_change_rate,-0.001562,-0.00185,-0.001281,100,5000,20260627
