id,method,domain,privacy_aware_label_preservation,privacy_aware_utility,privacy_aware_utility_0_to_5,private_loss_penalty,task_content_preservation
ratbench_english_0,direct,Medical consultation,1.0,1.0,5.0,0.0,0.92
ratbench_english_1,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.86
ratbench_english_2,direct,Medical consultation,1.0,0.8,4.0,0.0,0.95
ratbench_english_3,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.9
ratbench_english_4,direct,Medical consultation,1.0,0.8,4.0,0.0,0.95
ratbench_english_5,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.86
ratbench_english_6,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.92
ratbench_english_7,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.88
ratbench_english_8,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.9
ratbench_english_9,direct,Medical consultation,1.0,0.8,4.0,0.0,0.9
ratbench_english_10,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.93
ratbench_english_11,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.87
ratbench_english_12,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.95
ratbench_english_13,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.9
ratbench_english_14,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.88
ratbench_english_15,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.93
ratbench_english_16,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.88
ratbench_english_17,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.9
ratbench_english_18,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.98
ratbench_english_19,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.9
ratbench_english_20,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.92
ratbench_english_21,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.93
ratbench_english_22,direct,Medical consultation,1.0,0.8,4.0,0.0,0.92
ratbench_english_23,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.95
ratbench_english_24,direct,Meeting transcript,1.0,1.0,5.0,0.0,0.98
ratbench_english_25,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.85
ratbench_english_26,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.9
ratbench_english_27,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.92
