id,method,domain,label_preservation,llm_fact_preservation,semantic_utility_score,semantic_utility_score_0_to_5
synth_0000,direct,medical_admin,1.0,1.0,1.0,5.0
synth_0001,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0002,direct,financial_support,1.0,0.666667,0.8,4.0
synth_0003,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0004,direct,education_support,1.0,0.75,0.8,4.0
synth_0005,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0006,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0007,direct,financial_support,1.0,0.833333,1.0,5.0
synth_0008,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0009,direct,education_support,1.0,0.75,0.8,4.0
synth_0010,direct,medical_admin,1.0,0.5,0.8,4.0
synth_0011,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0012,direct,financial_support,1.0,0.8,0.8,4.0
synth_0013,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0014,direct,education_support,1.0,0.75,0.8,4.0
synth_0015,direct,medical_admin,1.0,0.75,1.0,5.0
synth_0016,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0017,direct,financial_support,1.0,0.67,0.8,4.0
synth_0018,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0019,direct,education_support,1.0,0.75,0.8,4.0
synth_0020,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0021,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0022,direct,financial_support,1.0,1.0,1.0,5.0
synth_0023,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0024,direct,education_support,1.0,0.75,0.8,4.0
synth_0025,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0026,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0027,direct,financial_support,1.0,0.666667,0.8,4.0
synth_0028,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0029,direct,education_support,1.0,0.75,0.8,4.0
synth_0030,direct,medical_admin,1.0,1.0,1.0,5.0
synth_0031,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0032,direct,financial_support,1.0,1.0,1.0,5.0
synth_0033,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0034,direct,education_support,1.0,0.75,0.8,4.0
synth_0035,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0036,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0037,direct,financial_support,1.0,0.67,1.0,5.0
synth_0038,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0039,direct,education_support,1.0,0.75,0.8,4.0
synth_0040,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0041,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0042,direct,financial_support,1.0,1.0,1.0,5.0
synth_0043,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0044,direct,education_support,1.0,0.75,0.8,4.0
synth_0045,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0046,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0047,direct,financial_support,1.0,0.67,0.8,4.0
synth_0048,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0049,direct,education_support,1.0,0.75,0.8,4.0
synth_0050,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0051,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0052,direct,financial_support,1.0,0.67,0.8,4.0
synth_0053,direct,hr_workplace,1.0,0.875,0.8,4.0
synth_0054,direct,education_support,1.0,0.75,0.8,4.0
synth_0055,direct,medical_admin,1.0,0.75,0.8,4.0
