id,attribute,category,span,risk_weight,span_covered,category_present
ratbench_english_0,citizenship_status,demographic,born in the US,3.0,True,True
ratbench_english_0,date_of_birth,date,26 November 2025,5.0,True,True
ratbench_english_0,sex,demographic,male,2.0,True,True
ratbench_english_1,citizenship_status,demographic,not a citizen of the US,3.0,True,True
ratbench_english_1,date_of_birth,date,16 April 2006,5.0,True,True
ratbench_english_1,sex,demographic,female,2.0,True,True
ratbench_english_2,date_of_birth,date,25 October 1960,5.0,True,True
ratbench_english_2,marital_status,demographic,married,3.0,True,True
ratbench_english_2,rac2p,other,Laotian,3.0,True,False
ratbench_english_2,sex,demographic,male,2.0,True,True
ratbench_english_3,esr,other,"civilian employed, at work",3.0,True,True
ratbench_english_3,rac2p,other,two or more races,3.0,True,True
ratbench_english_4,date_of_birth,date,8 November 1994,5.0,True,True
ratbench_english_4,rac2p,other,black or African American,3.0,True,False
ratbench_english_4,sex,demographic,male,2.0,True,True
ratbench_english_5,citizenship_status,demographic,not a citizen of the US,3.0,True,True
ratbench_english_5,rac2p,other,two or more races,3.0,True,False
ratbench_english_5,zip code,other,10019,3.0,True,False
ratbench_english_6,marital_status,demographic,married,3.0,True,True
ratbench_english_6,rac2p,other,Houma,3.0,True,True
ratbench_english_6,schl,other,regular high school diploma,3.0,True,True
ratbench_english_6,sex,demographic,male,2.0,True,True
ratbench_english_7,citizenship_status,demographic,born abroad of American parent(s),3.0,True,True
ratbench_english_7,marital_status,demographic,divorced,3.0,True,True
ratbench_english_7,rac2p,other,Delaware,3.0,True,True
ratbench_english_7,sex,demographic,male,2.0,True,True
ratbench_english_8,date_of_birth,date,11 October 2002,5.0,True,True
ratbench_english_8,zip code,other,95380,3.0,True,True
ratbench_english_9,esr,other,unemployed,3.0,True,True
ratbench_english_10,date_of_birth,date,10 December 2021,5.0,True,True
ratbench_english_10,rac2p,other,Chinese,3.0,True,False
ratbench_english_10,sex,demographic,female,2.0,True,True
ratbench_english_10,zip code,other,81210,3.0,True,False
ratbench_english_11,esr,other,"civilian employed, at work",3.0,True,False
ratbench_english_11,rac2p,other,Tlingit-Haida,3.0,True,False
ratbench_english_12,esr,other,"armed forces, with a job but not at work",3.0,True,True
ratbench_english_12,sex,demographic,female,2.0,True,True
ratbench_english_13,marital_status,demographic,married,3.0,True,True
ratbench_english_13,rac2p,other,Cheyenne,3.0,True,False
ratbench_english_13,schl,other,GED or alternative credential,3.0,True,False
ratbench_english_13,sex,demographic,male,2.0,True,True
ratbench_english_13,zip code,other,99152,3.0,True,False
ratbench_english_14,citizenship_status,demographic,born in the US,3.0,True,True
ratbench_english_14,rac2p,other,Japanese,3.0,True,False
ratbench_english_14,sex,demographic,female,2.0,True,True
ratbench_english_15,citizenship_status,demographic,born abroad of American parent(s),3.0,True,True
ratbench_english_15,date_of_birth,date,22 December 2009,5.0,True,True
ratbench_english_15,marital_status,demographic,never married or under 15 years old,3.0,True,True
ratbench_english_15,schl,other,grade 10,3.0,True,False
ratbench_english_16,date_of_birth,date,17 April 1978,5.0,True,False
ratbench_english_16,marital_status,demographic,married,3.0,True,True
ratbench_english_17,citizenship_status,demographic,born in the US,3.0,True,True
ratbench_english_17,date_of_birth,date,28 December 1972,5.0,True,True
ratbench_english_17,marital_status,demographic,divorced,3.0,True,True
ratbench_english_17,schl,other,GED or alternative credential,3.0,True,True
ratbench_english_18,marital_status,demographic,married,3.0,True,True
